timestamp,open,high,low,close,volume
2023-08-10 00:00:00+00:00,1854.6,1855.1,1854.6,1854.75,163669
2023-08-10 00:05:00+00:00,1854.8,1855.45,1854.8,1855.45,9113
2023-08-10 00:10:00+00:00,1855.45,1856.1,1855.15,1855.15,51971
2023-08-10 00:15:00+00:00,1855.15,1856.65,1855.15,1856.65,42298
2023-08-10 00:20:00+00:00,1856.9,1856.95,1856.7,1856.95,23105
2023-08-10 00:25:00+00:00,1857.0,1857.0,1857.0,1857.0,2
2023-08-10 00:30:00+00:00,1856.95,1857.0,1856.6,1856.65,48299
2023-08-10 00:35:00+00:00,1856.45,1856.45,1855.3,1855.3,36449
2023-08-10 00:40:00+00:00,1855.0,1855.0,1854.8,1854.8,13937
2023-08-10 00:50:00+00:00,1854.8,1854.8,1854.2,1854.25,130618
2023-08-10 00:55:00+00:00,1854.75,1856.8,1854.75,1856.8,111845
2023-08-10 01:00:00+00:00,1856.75,1857.0,1856.75,1856.95,24060
2023-08-10 01:05:00+00:00,1856.95,1856.95,1856.6,1856.95,11426
2023-08-10 01:10:00+00:00,1856.9,1856.9,1855.85,1855.85,39592
2023-08-10 01:15:00+00:00,1855.8,1855.8,1855.4,1855.4,55812
2023-08-10 01:20:00+00:00,1855.3,1855.4,1855.1,1855.2,242423
2023-08-10 01:25:00+00:00,1855.45,1855.45,1855.45,1855.45,63065
2023-08-10 01:30:00+00:00,1855.4,1855.4,1855.05,1855.05,36735
2023-08-10 01:35:00+00:00,1855.05,1856.65,1855.05,1856.65,48061
2023-08-10 01:40:00+00:00,1856.6,1856.8,1856.05,1856.05,56234
2023-08-10 01:45:00+00:00,1856.75,1856.95,1856.3,1856.95,10054
2023-08-10 01:50:00+00:00,1856.9,1856.9,1854.5,1854.6,94984
2023-08-10 01:55:00+00:00,1854.6,1854.9,1854.05,1854.9,73549
2023-08-10 02:00:00+00:00,1854.9,1854.9,1854.45,1854.45,15245
2023-08-10 02:05:00+00:00,1854.45,1855.6,1854.45,1855.55,25531
2023-08-10 02:10:00+00:00,1855.55,1855.95,1855.55,1855.95,1225
2023-08-10 02:15:00+00:00,1855.95,1856.0,1855.05,1855.45,48832
2023-08-10 02:20:00+00:00,1855.4,1855.4,1855.0,1855.0,23025
2023-08-10 02:25:00+00:00,1855.0,1855.55,1855.0,1855.5,7694
2023-08-10 02:30:00+00:00,1855.5,1855.5,1854.85,1855.5,15560
2023-08-10 02:35:00+00:00,1855.55,1855.6,1855.55,1855.6,53292
2023-08-10 02:40:00+00:00,1855.6,1855.6,1855.6,1855.6,2
2023-08-10 02:45:00+00:00,1855.6,1855.6,1855.6,1855.6,10380
2023-08-10 02:50:00+00:00,1855.55,1855.55,1854.2,1854.2,48996
2023-08-10 02:55:00+00:00,1854.0,1854.0,1853.25,1853.25,83648
2023-08-10 03:00:00+00:00,1853.3,1853.3,1852.25,1852.25,353867
2023-08-10 03:05:00+00:00,1852.15,1852.75,1852.15,1852.5,79730
2023-08-10 03:10:00+00:00,1852.55,1853.2,1852.55,1853.2,19703
2023-08-10 03:15:00+00:00,1853.15,1854.05,1853.15,1854.05,138243
2023-08-10 03:20:00+00:00,1854.05,1854.05,1854.05,1854.05,2
2023-08-10 03:25:00+00:00,1854.0,1854.0,1853.55,1853.55,119655
2023-08-10 03:30:00+00:00,1853.5,1853.5,1852.4,1852.4,87785
